traffic_type,protocol,duration,packet_count,avg_packet_size,bytes_per_sec,flag,label
File Transfer,TCP,0.07,61,257,223957.14,FIN,Normal
Database,ICMP,0.06,7,93,10850.0,RST,Normal
Messaging,ICMP,5.22,181,1162,40291.57,SYN,Anomaly
File Transfer,ICMP,1.36,65,458,21889.71,SYN,Anomaly
Database,UDP,2.13,66,1208,37430.99,PSH,Normal
Database,TCP,0.25,164,820,537920.0,URG,Normal
Video,TCP,0.38,93,368,90063.16,SYN,Encrypted
Video,TCP,3.38,105,1330,41316.57,SYN,Normal
Messaging,ICMP,3.15,71,674,15191.75,FIN,Encrypted
Video,ICMP,0.21,141,1258,844657.14,URG,Normal
File Transfer,TCP,4.67,80,209,3580.3,FIN,Normal
Messaging,ICMP,2.49,44,1324,23395.98,FIN,Normal
Web,ICMP,1.99,128,1014,65222.11,PSH,Anomaly
Database,TCP,0.01,137,1239,16974300.0,FIN,Normal
Video,ICMP,1.03,41,1379,54892.23,SYN,Normal
Database,TCP,0.17,32,1012,190494.12,PSH,Malware
Video,ICMP,2.86,44,1364,20984.62,URG,Normal
File Transfer,TCP,0.98,97,154,15242.86,FIN,Normal
Database,UDP,2.61,60,1103,25356.32,PSH,Normal
Web,TCP,1.7,95,1352,75552.94,ACK,Normal
Database,TCP,3.16,151,375,17919.3,RST,Normal
Web,UDP,1.61,101,610,38267.08,SYN,Normal
File Transfer,UDP,3.03,173,820,46818.48,RST,Anomaly
Web,UDP,2.72,93,1233,42157.72,FIN,Anomaly
Messaging,ICMP,0.17,159,461,431170.59,SYN,Encrypted
Messaging,ICMP,0.31,137,596,263393.55,FIN,Normal
File Transfer,UDP,3.08,35,574,6522.73,RST,Normal
File Transfer,TCP,0.01,164,402,6592800.0,ACK,Malware
Database,UDP,0.39,43,121,13341.03,RST,Normal
Video,TCP,2.56,81,334,10567.97,URG,Normal
Video,UDP,0.32,17,1109,58915.62,SYN,Normal
Messaging,UDP,0.59,21,399,14201.69,ACK,Normal
Database,ICMP,0.45,192,487,207786.67,RST,Normal
